,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
0,0,0,0.05,0,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.03385
1,0,0,0.05,0,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.03438
2,0,0,0.05,0,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.03438
3,0,0,0.05,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
4,0,0,0.05,1,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
5,0,0,0.05,1,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
6,0,0,0.05,1,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
7,0,0,0.05,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
8,0,0,0.05,2,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
9,0,0,0.05,2,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
10,0,0,0.05,2,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
11,0,0,0.05,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
12,0,0,0.05,3,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
13,0,0,0.05,3,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
14,0,0,0.05,3,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
15,0,0,0.05,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
16,0,0,0.35,0,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.03385
17,0,0,0.35,0,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.03438
18,0,0,0.35,0,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.03438
19,0,0,0.35,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
20,0,0,0.35,1,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
21,0,0,0.35,1,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
22,0,0,0.35,1,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
23,0,0,0.35,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
24,0,0,0.35,2,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
25,0,0,0.35,2,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
26,0,0,0.35,2,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
27,0,0,0.35,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
28,0,0,0.35,3,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
29,0,0,0.35,3,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
30,0,0,0.35,3,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
31,0,0,0.35,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
32,0,0,0.65,0,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.03385
33,0,0,0.65,0,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.03438
34,0,0,0.65,0,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.03438
35,0,0,0.65,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
36,0,0,0.65,1,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
37,0,0,0.65,1,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
38,0,0,0.65,1,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
39,0,0,0.65,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
40,0,0,0.65,2,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
41,0,0,0.65,2,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
42,0,0,0.65,2,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
43,0,0,0.65,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
44,0,0,0.65,3,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
45,0,0,0.65,3,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
46,0,0,0.65,3,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
47,0,0,0.65,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
48,0,0,0.95,0,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.03385
49,0,0,0.95,0,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.03438
50,0,0,0.95,0,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.03438
51,0,0,0.95,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
52,0,0,0.95,1,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
53,0,0,0.95,1,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
54,0,0,0.95,1,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
55,0,0,0.95,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
56,0,0,0.95,2,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
57,0,0,0.95,2,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
58,0,0,0.95,2,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
59,0,0,0.95,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
60,0,0,0.95,3,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.04511
61,0,0,0.95,3,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.0491
62,0,0,0.95,3,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.0491
63,0,0,0.95,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
64,0,1,0.05,0,0.05,0,1.0,1.0,1.0,1.0,0.96912,0.90588
65,0,1,0.05,0,0.35,0,1.0,1.0,1.0,1.0,0.96912,0.90632
66,0,1,0.05,0,0.65,0,1.0,1.0,1.0,1.0,0.96912,0.90632
67,0,1,0.05,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
68,0,1,0.05,1,0.05,0,1.0,1.0,1.0,1.0,0.96912,0.90588
69,0,1,0.05,1,0.35,0,1.0,1.0,1.0,1.0,0.96912,0.90632
70,0,1,0.05,1,0.65,0,1.0,1.0,1.0,1.0,0.96912,0.90632
71,0,1,0.05,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
72,0,1,0.05,2,0.05,0,1.0,1.0,1.0,1.0,0.96912,0.90588
73,0,1,0.05,2,0.35,0,1.0,1.0,1.0,1.0,0.96912,0.90632
74,0,1,0.05,2,0.65,0,1.0,1.0,1.0,1.0,0.96912,0.90632
75,0,1,0.05,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
76,0,1,0.05,3,0.05,0,1.0,1.0,1.0,1.0,0.96912,0.90588
77,0,1,0.05,3,0.35,0,1.0,1.0,1.0,1.0,0.96912,0.90632
78,0,1,0.05,3,0.65,0,1.0,1.0,1.0,1.0,0.96912,0.90632
79,0,1,0.05,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
80,0,1,0.35,0,0.05,0,1.0,1.0,1.0,1.0,0.78771,0.73002
81,0,1,0.35,0,0.35,0,1.0,1.0,1.0,1.0,0.78771,0.73023
82,0,1,0.35,0,0.65,0,1.0,1.0,1.0,1.0,0.78771,0.73023
83,0,1,0.35,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
84,0,1,0.35,1,0.05,0,1.0,1.0,1.0,1.0,0.78771,0.73002
85,0,1,0.35,1,0.35,0,1.0,1.0,1.0,1.0,0.78771,0.73023
86,0,1,0.35,1,0.65,0,1.0,1.0,1.0,1.0,0.78771,0.73023
87,0,1,0.35,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
88,0,1,0.35,2,0.05,0,1.0,1.0,1.0,1.0,0.78771,0.73002
89,0,1,0.35,2,0.35,0,1.0,1.0,1.0,1.0,0.78771,0.73023
90,0,1,0.35,2,0.65,0,1.0,1.0,1.0,1.0,0.78771,0.73023
91,0,1,0.35,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
92,0,1,0.35,3,0.05,0,1.0,1.0,1.0,1.0,0.78771,0.73002
93,0,1,0.35,3,0.35,0,1.0,1.0,1.0,1.0,0.78771,0.73023
94,0,1,0.35,3,0.65,0,1.0,1.0,1.0,1.0,0.78771,0.73023
95,0,1,0.35,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
96,0,1,0.65,0,0.05,0,1.0,1.0,1.0,1.0,0.51877,0.4755
97,0,1,0.65,0,0.35,0,1.0,1.0,1.0,1.0,0.51877,0.47567
98,0,1,0.65,0,0.65,0,1.0,1.0,1.0,1.0,0.51877,0.47567
99,0,1,0.65,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
100,0,1,0.65,1,0.05,0,1.0,1.0,1.0,1.0,0.51877,0.4755
101,0,1,0.65,1,0.35,0,1.0,1.0,1.0,1.0,0.51877,0.47567
102,0,1,0.65,1,0.65,0,1.0,1.0,1.0,1.0,0.51877,0.47567
103,0,1,0.65,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
104,0,1,0.65,2,0.05,0,1.0,1.0,1.0,1.0,0.51877,0.4755
105,0,1,0.65,2,0.35,0,1.0,1.0,1.0,1.0,0.51877,0.47567
106,0,1,0.65,2,0.65,0,1.0,1.0,1.0,1.0,0.51877,0.47567
107,0,1,0.65,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
108,0,1,0.65,3,0.05,0,1.0,1.0,1.0,1.0,0.51877,0.4755
109,0,1,0.65,3,0.35,0,1.0,1.0,1.0,1.0,0.51877,0.47567
110,0,1,0.65,3,0.65,0,1.0,1.0,1.0,1.0,0.51877,0.47567
111,0,1,0.65,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
112,0,1,0.95,0,0.05,0,1.0,1.0,1.0,1.0,0.09649,0.0934
113,0,1,0.95,0,0.35,0,1.0,1.0,1.0,1.0,0.09649,0.09344
114,0,1,0.95,0,0.65,0,1.0,1.0,1.0,1.0,0.09649,0.09344
115,0,1,0.95,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
116,0,1,0.95,1,0.05,0,1.0,1.0,1.0,1.0,0.09649,0.0934
117,0,1,0.95,1,0.35,0,1.0,1.0,1.0,1.0,0.09649,0.09344
118,0,1,0.95,1,0.65,0,1.0,1.0,1.0,1.0,0.09649,0.09344
119,0,1,0.95,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
120,0,1,0.95,2,0.05,0,1.0,1.0,1.0,1.0,0.09649,0.0934
121,0,1,0.95,2,0.35,0,1.0,1.0,1.0,1.0,0.09649,0.09344
122,0,1,0.95,2,0.65,0,1.0,1.0,1.0,1.0,0.09649,0.09344
123,0,1,0.95,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
124,0,1,0.95,3,0.05,0,1.0,1.0,1.0,1.0,0.09649,0.0934
125,0,1,0.95,3,0.35,0,1.0,1.0,1.0,1.0,0.09649,0.09344
126,0,1,0.95,3,0.65,0,1.0,1.0,1.0,1.0,0.09649,0.09344
127,0,1,0.95,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
128,4,0,0.05,0,0.05,0,0.03343,0.0,0.0,0.0,0.42677,0.05838
129,4,0,0.05,0,0.35,0,0.03343,0.0,0.0,0.0,0.9931,0.9316
130,4,0,0.05,0,0.65,0,0.03343,0.0,0.0,0.0,0.9931,0.9316
131,4,0,0.05,0,0.95,0,0.03343,0.0,0.0,0.0,0.0,0.0
132,4,0,0.05,1,0.05,0,0.02323,0.0,0.0,0.0,0.33714,0.04021
133,4,0,0.05,1,0.35,0,0.02323,0.0,0.0,0.0,0.9931,0.9316
134,4,0,0.05,1,0.65,0,0.02323,0.0,0.0,0.0,0.9931,0.9316
135,4,0,0.05,1,0.95,0,0.02323,0.0,0.0,0.0,0.0,0.0
136,4,0,0.05,2,0.05,0,0.02301,0.0,0.0,0.0,0.32892,0.0386
137,4,0,0.05,2,0.35,0,0.02301,0.0,0.0,0.0,0.9931,0.9316
138,4,0,0.05,2,0.65,0,0.02301,0.0,0.0,0.0,0.9931,0.9316
139,4,0,0.05,2,0.95,0,0.02301,0.0,0.0,0.0,0.0,0.0
140,4,0,0.05,3,0.05,0,0.02696,0.0,0.0,0.0,0.36932,0.03981
141,4,0,0.05,3,0.35,0,0.02696,0.0,0.0,0.0,0.9931,0.9316
142,4,0,0.05,3,0.65,0,0.02696,0.0,0.0,0.0,0.9931,0.9316
143,4,0,0.05,3,0.95,0,0.02696,0.0,0.0,0.0,0.0,0.0
144,4,0,0.35,0,0.05,0,0.14164,0.0,0.0,0.0,0.76596,0.16651
145,4,0,0.35,0,0.35,0,0.14164,0.0,0.0,0.0,0.98845,0.9316
146,4,0,0.35,0,0.65,0,0.14164,0.0,0.0,0.0,0.98845,0.9316
147,4,0,0.35,0,0.95,0,0.14164,0.0,0.0,0.0,0.0,0.0
148,4,0,0.35,1,0.05,0,0.11382,0.0,0.0,0.0,0.73155,0.16505
149,4,0,0.35,1,0.35,0,0.11382,0.0,0.0,0.0,0.98611,0.9311
150,4,0,0.35,1,0.65,0,0.11382,0.0,0.0,0.0,0.98611,0.9311
151,4,0,0.35,1,0.95,0,0.11382,0.0,0.0,0.0,0.0,0.0
152,4,0,0.35,2,0.05,0,0.12857,0.0,0.0,0.0,0.76471,0.15888
153,4,0,0.35,2,0.35,0,0.12857,0.0,0.0,0.0,0.98845,0.9316
154,4,0,0.35,2,0.65,0,0.12857,0.0,0.0,0.0,0.98845,0.9316
155,4,0,0.35,2,0.95,0,0.12857,0.0,0.0,0.0,0.0,0.0
156,4,0,0.35,3,0.05,0,0.17184,0.0,0.0,0.0,0.81675,0.15776
157,4,0,0.35,3,0.35,0,0.17184,0.0,0.0,0.0,0.98845,0.9316
158,4,0,0.35,3,0.65,0,0.17184,0.0,0.0,0.0,0.98845,0.9316
159,4,0,0.35,3,0.95,0,0.17184,0.0,0.0,0.0,0.0,0.0
160,4,0,0.65,0,0.05,0,0.57088,0.0,1.0,1.0,0.81053,0.47854
161,4,0,0.65,0,0.35,0,0.57088,0.0,1.0,1.0,0.80328,0.92793
162,4,0,0.65,0,0.65,0,0.57088,0.0,1.0,1.0,0.80328,0.92793
163,4,0,0.65,0,0.95,0,0.57088,0.0,1.0,1.0,0.0,0.0
164,4,0,0.65,1,0.05,0,0.55515,0.0,1.0,1.0,0.81675,0.3903
165,4,0,0.65,1,0.35,0,0.55515,0.0,1.0,1.0,0.80978,0.92596
166,4,0,0.65,1,0.65,0,0.55515,0.0,1.0,1.0,0.80978,0.92596
167,4,0,0.65,1,0.95,0,0.55515,0.0,1.0,1.0,0.0,0.0
168,4,0,0.65,2,0.05,0,0.56902,0.0,1.0,1.0,0.87,0.40682
169,4,0,0.65,2,0.35,0,0.56902,0.0,1.0,1.0,0.86529,0.92698
170,4,0,0.65,2,0.65,0,0.56902,0.0,1.0,1.0,0.86529,0.92698
171,4,0,0.65,2,0.95,0,0.56902,0.0,1.0,1.0,0.0,0.0
172,4,0,0.65,3,0.05,0,0.66917,0.0,1.0,1.0,0.89538,0.47852
173,4,0,0.65,3,0.35,0,0.66917,0.0,1.0,1.0,0.89114,0.92857
174,4,0,0.65,3,0.65,0,0.66917,0.0,1.0,1.0,0.89114,0.92857
175,4,0,0.65,3,0.95,0,0.66917,0.0,1.0,1.0,0.0,0.0
176,4,0,0.95,0,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.29823
177,4,0,0.95,0,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.29686
178,4,0,0.95,0,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.29686
179,4,0,0.95,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
180,4,0,0.95,1,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.29065
181,4,0,0.95,1,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.30012
182,4,0,0.95,1,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.30012
183,4,0,0.95,1,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
184,4,0,0.95,2,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.29065
185,4,0,0.95,2,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.30012
186,4,0,0.95,2,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.30012
187,4,0,0.95,2,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
188,4,0,0.95,3,0.05,0,1.0,1.0,1.0,1.0,0.01811,0.40984
189,4,0,0.95,3,0.35,0,1.0,1.0,1.0,1.0,0.01811,0.42727
190,4,0,0.95,3,0.65,0,1.0,1.0,1.0,1.0,0.01811,0.42727
191,4,0,0.95,3,0.95,0,1.0,1.0,1.0,1.0,0.0,0.0
192,4,1,0.05,0,0.05,0,0.16112,0.0,0.0,0.0,0.78536,0.29312
193,4,1,0.05,0,0.35,0,0.16112,0.0,0.0,0.0,0.9931,0.93028
194,4,1,0.05,0,0.65,0,0.16112,0.0,0.0,0.0,0.9931,0.93028
