,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
0,0,0.05,0,0.05,21285,0.16796,0.07143,0.10526,0.15385,0.28791,0.04259
1,0,0.05,0,0.1625,21285,0.16796,0.07143,0.10526,0.15385,0.53873,0.11462
2,0,0.05,0,0.275,21285,0.16796,0.07143,0.10526,0.15385,0.54132,0.11783
3,0,0.05,0,0.3875,21285,0.16796,0.07143,0.10526,0.15385,0.84962,0.35055
4,0,0.05,0,0.5,21285,0.16796,0.07143,0.10526,0.15385,0.97414,0.90024
5,0,0.05,0,0.6125,21285,0.16796,0.07143,0.10526,0.15385,0.94222,0.94193
6,0,0.05,0,0.725,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.96247
7,0,0.05,0,0.8375,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.92667
8,0,0.05,0,0.95,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.78195
9,0,0.05,1,0.05,30598,0.17993,0.11111,0.13333,0.16667,0.22013,0.02595
10,0,0.05,1,0.1625,30598,0.17993,0.11111,0.13333,0.16667,0.49553,0.09069
11,0,0.05,1,0.275,30598,0.17993,0.11111,0.13333,0.16667,0.49775,0.09245
12,0,0.05,1,0.3875,30598,0.17993,0.11111,0.13333,0.16667,0.78724,0.26165
13,0,0.05,1,0.5,30598,0.17993,0.11111,0.13333,0.16667,0.96522,0.90834
14,0,0.05,1,0.6125,30598,0.17993,0.11111,0.13333,0.16667,0.93274,0.94593
15,0,0.05,1,0.725,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.96303
16,0,0.05,1,0.8375,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.92352
17,0,0.05,1,0.95,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.77896
18,0,0.05,2,0.05,32077,0.17331,0.10526,0.125,0.15385,0.22137,0.02555
19,0,0.05,2,0.1625,32077,0.17331,0.10526,0.125,0.15385,0.48183,0.08793
20,0,0.05,2,0.275,32077,0.17331,0.10526,0.125,0.15385,0.48384,0.0897
21,0,0.05,2,0.3875,32077,0.17331,0.10526,0.125,0.15385,0.80555,0.25814
22,0,0.05,2,0.5,32077,0.17331,0.10526,0.125,0.15385,0.98723,0.90467
23,0,0.05,2,0.6125,32077,0.17331,0.10526,0.125,0.15385,0.95385,0.94549
24,0,0.05,2,0.725,32077,0.17331,0.10526,0.125,0.15385,0.0,0.96385
25,0,0.05,2,0.8375,32077,0.17331,0.10526,0.125,0.15385,0.0,0.92769
26,0,0.05,2,0.95,32077,0.17331,0.10526,0.125,0.15385,0.0,0.78294
27,0,0.05,3,0.05,35056,0.15422,0.09091,0.11765,0.14286,0.2053,0.02137
28,0,0.05,3,0.1625,35056,0.15422,0.09091,0.11765,0.14286,0.41392,0.0581
29,0,0.05,3,0.275,35056,0.15422,0.09091,0.11765,0.14286,0.4154,0.05904
30,0,0.05,3,0.3875,35056,0.15422,0.09091,0.11765,0.14286,0.80555,0.24699
31,0,0.05,3,0.5,35056,0.15422,0.09091,0.11765,0.14286,0.98723,0.89862
32,0,0.05,3,0.6125,35056,0.15422,0.09091,0.11765,0.14286,0.95385,0.94367
33,0,0.05,3,0.725,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.96385
34,0,0.05,3,0.8375,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.92769
35,0,0.05,3,0.95,35056,0.15422,0.09091,0.11765,0.14286,0.0,0.78294
36,0,0.1625,0,0.05,12132,0.20972,0.07692,0.11111,0.18182,0.38127,0.06752
37,0,0.1625,0,0.1625,12132,0.20972,0.07692,0.11111,0.18182,0.65497,0.18272
38,0,0.1625,0,0.275,12132,0.20972,0.07692,0.11111,0.18182,0.65882,0.18983
39,0,0.1625,0,0.3875,12132,0.20972,0.07692,0.11111,0.18182,0.88363,0.44182
40,0,0.1625,0,0.5,12132,0.20972,0.07692,0.11111,0.18182,0.9697,0.90291
41,0,0.1625,0,0.6125,12132,0.20972,0.07692,0.11111,0.18182,0.94222,0.94158
42,0,0.1625,0,0.725,12132,0.20972,0.07692,0.11111,0.18182,0.0,0.96131
43,0,0.1625,0,0.8375,12132,0.20972,0.07692,0.11111,0.18182,0.0,0.9259
44,0,0.1625,0,0.95,12132,0.20972,0.07692,0.11111,0.18182,0.0,0.78128
45,0,0.1625,1,0.05,9498,0.30293,0.14286,0.18182,0.23529,0.34162,0.04832
46,0,0.1625,1,0.1625,9498,0.30293,0.14286,0.18182,0.23529,0.77876,0.21737
47,0,0.1625,1,0.275,9498,0.30293,0.14286,0.18182,0.23529,0.78431,0.22539
48,0,0.1625,1,0.3875,9498,0.30293,0.14286,0.18182,0.23529,0.83175,0.34172
49,0,0.1625,1,0.5,9498,0.30293,0.14286,0.18182,0.23529,0.9607,0.91749
50,0,0.1625,1,0.6125,9498,0.30293,0.14286,0.18182,0.23529,0.93274,0.94728
51,0,0.1625,1,0.725,9498,0.30293,0.14286,0.18182,0.23529,0.0,0.96253
52,0,0.1625,1,0.8375,9498,0.30293,0.14286,0.18182,0.23529,0.0,0.92275
53,0,0.1625,1,0.95,9498,0.30293,0.14286,0.18182,0.23529,0.0,0.77863
54,0,0.1625,2,0.05,12342,0.22995,0.1,0.14286,0.2,0.32061,0.04364
55,0,0.1625,2,0.1625,12342,0.22995,0.1,0.14286,0.2,0.67151,0.17036
56,0,0.1625,2,0.275,12342,0.22995,0.1,0.14286,0.2,0.67543,0.17607
57,0,0.1625,2,0.3875,12342,0.22995,0.1,0.14286,0.2,0.84306,0.32752
58,0,0.1625,2,0.5,12342,0.22995,0.1,0.14286,0.2,0.98507,0.91265
59,0,0.1625,2,0.6125,12342,0.22995,0.1,0.14286,0.2,0.95385,0.94631
60,0,0.1625,2,0.725,12342,0.22995,0.1,0.14286,0.2,0.0,0.96385
61,0,0.1625,2,0.8375,12342,0.22995,0.1,0.14286,0.2,0.0,0.92769
62,0,0.1625,2,0.95,12342,0.22995,0.1,0.14286,0.2,0.0,0.78294
63,0,0.1625,3,0.05,14329,0.19763,0.09091,0.125,0.18182,0.30596,0.03411
64,0,0.1625,3,0.1625,14329,0.19763,0.09091,0.125,0.18182,0.60789,0.10866
65,0,0.1625,3,0.275,14329,0.19763,0.09091,0.125,0.18182,0.61111,0.11139
66,0,0.1625,3,0.3875,14329,0.19763,0.09091,0.125,0.18182,0.84306,0.30037
67,0,0.1625,3,0.5,14329,0.19763,0.09091,0.125,0.18182,0.98507,0.90991
68,0,0.1625,3,0.6125,14329,0.19763,0.09091,0.125,0.18182,0.95385,0.94613
69,0,0.1625,3,0.725,14329,0.19763,0.09091,0.125,0.18182,0.0,0.96385
70,0,0.1625,3,0.8375,14329,0.19763,0.09091,0.125,0.18182,0.0,0.92769
71,0,0.1625,3,0.95,14329,0.19763,0.09091,0.125,0.18182,0.0,0.78294
72,0,0.275,0,0.05,5999,0.29434,0.07692,0.13333,0.25,0.52153,0.11067
73,0,0.275,0,0.1625,5999,0.29434,0.07692,0.13333,0.25,0.75986,0.27509
74,0,0.275,0,0.275,5999,0.29434,0.07692,0.13333,0.25,0.76535,0.28877
75,0,0.275,0,0.3875,5999,0.29434,0.07692,0.13333,0.25,0.89263,0.54636
76,0,0.275,0,0.5,5999,0.29434,0.07692,0.13333,0.25,0.94222,0.90582
77,0,0.275,0,0.6125,5999,0.29434,0.07692,0.13333,0.25,0.91572,0.94069
78,0,0.275,0,0.725,5999,0.29434,0.07692,0.13333,0.25,0.0,0.95964
79,0,0.275,0,0.8375,5999,0.29434,0.07692,0.13333,0.25,0.0,0.92384
80,0,0.275,0,0.95,5999,0.29434,0.07692,0.13333,0.25,0.0,0.77896
81,0,0.275,1,0.05,3077,0.53238,0.1875,0.29412,1.0,0.5853,0.13561
82,0,0.275,1,0.1625,3077,0.53238,0.1875,0.29412,1.0,0.86147,0.44875
83,0,0.275,1,0.275,3077,0.53238,0.1875,0.29412,1.0,0.869,0.47367
84,0,0.275,1,0.3875,3077,0.53238,0.1875,0.29412,1.0,0.87665,0.5548
85,0,0.275,1,0.5,3077,0.53238,0.1875,0.29412,1.0,0.91076,0.91653
86,0,0.275,1,0.6125,3077,0.53238,0.1875,0.29412,1.0,0.88263,0.94317
87,0,0.275,1,0.725,3077,0.53238,0.1875,0.29412,1.0,0.0,0.95609
88,0,0.275,1,0.8375,3077,0.53238,0.1875,0.29412,1.0,0.0,0.91575
89,0,0.275,1,0.95,3077,0.53238,0.1875,0.29412,1.0,0.0,0.77226
90,0,0.275,2,0.05,4371,0.37798,0.11111,0.2,0.77778,0.54369,0.10526
91,0,0.275,2,0.1625,4371,0.37798,0.11111,0.2,0.77778,0.82353,0.33389
92,0,0.275,2,0.275,4371,0.37798,0.11111,0.2,0.77778,0.82963,0.35111
93,0,0.275,2,0.3875,4371,0.37798,0.11111,0.2,0.77778,0.90688,0.5074
94,0,0.275,2,0.5,4371,0.37798,0.11111,0.2,0.77778,0.9697,0.91835
95,0,0.275,2,0.6125,4371,0.37798,0.11111,0.2,0.77778,0.93987,0.94843
96,0,0.275,2,0.725,4371,0.37798,0.11111,0.2,0.77778,0.0,0.96333
97,0,0.275,2,0.8375,4371,0.37798,0.11111,0.2,0.77778,0.0,0.92667
98,0,0.275,2,0.95,4371,0.37798,0.11111,0.2,0.77778,0.0,0.78195
99,0,0.275,3,0.05,3782,0.39949,0.11111,0.2,1.0,0.57509,0.06409
100,0,0.275,3,0.1625,3782,0.39949,0.11111,0.2,1.0,0.83117,0.20284
101,0,0.275,3,0.275,3782,0.39949,0.11111,0.2,1.0,0.83738,0.21053
102,0,0.275,3,0.3875,3782,0.39949,0.11111,0.2,1.0,0.91242,0.41303
103,0,0.275,3,0.5,3782,0.39949,0.11111,0.2,1.0,0.9697,0.91439
104,0,0.275,3,0.6125,3782,0.39949,0.11111,0.2,1.0,0.93987,0.94742
105,0,0.275,3,0.725,3782,0.39949,0.11111,0.2,1.0,0.0,0.96247
106,0,0.275,3,0.8375,3782,0.39949,0.11111,0.2,1.0,0.0,0.92667
107,0,0.275,3,0.95,3782,0.39949,0.11111,0.2,1.0,0.0,0.78195
108,0,0.3875,0,0.05,3659,0.37857,0.07692,0.15385,1.0,0.60968,0.19644
109,0,0.3875,0,0.1625,3659,0.37857,0.07692,0.15385,1.0,0.76364,0.40692
110,0,0.3875,0,0.275,3659,0.37857,0.07692,0.15385,1.0,0.76986,0.42991
111,0,0.3875,0,0.3875,3659,0.37857,0.07692,0.15385,1.0,0.85135,0.66246
112,0,0.3875,0,0.5,3659,0.37857,0.07692,0.15385,1.0,0.88525,0.90779
113,0,0.3875,0,0.6125,3659,0.37857,0.07692,0.15385,1.0,0.85577,0.93528
114,0,0.3875,0,0.725,3659,0.37857,0.07692,0.15385,1.0,0.0,0.95019
115,0,0.3875,0,0.8375,3659,0.37857,0.07692,0.15385,1.0,0.0,0.91452
116,0,0.3875,0,0.95,3659,0.37857,0.07692,0.15385,1.0,0.0,0.76923
117,0,0.3875,1,0.05,1565,0.7287,0.3,1.0,1.0,0.69899,0.33673
118,0,0.3875,1,0.1625,1565,0.7287,0.3,1.0,1.0,0.81991,0.65718
119,0,0.3875,1,0.275,1565,0.7287,0.3,1.0,1.0,0.82775,0.6973
120,0,0.3875,1,0.3875,1565,0.7287,0.3,1.0,1.0,0.83173,0.74919
121,0,0.3875,1,0.5,1565,0.7287,0.3,1.0,1.0,0.84185,0.91659
122,0,0.3875,1,0.6125,1565,0.7287,0.3,1.0,1.0,0.81592,0.93955
123,0,0.3875,1,0.725,1565,0.7287,0.3,1.0,1.0,0.0,0.94424
124,0,0.3875,1,0.8375,1565,0.7287,0.3,1.0,1.0,0.0,0.90267
125,0,0.3875,1,0.95,1565,0.7287,0.3,1.0,1.0,0.0,0.75989
126,0,0.3875,2,0.05,1803,0.66979,0.23077,1.0,1.0,0.77037,0.21827
127,0,0.3875,2,0.1625,1803,0.66979,0.23077,1.0,1.0,0.90632,0.49699
128,0,0.3875,2,0.275,1803,0.66979,0.23077,1.0,1.0,0.91429,0.52647
129,0,0.3875,2,0.3875,1803,0.66979,0.23077,1.0,1.0,0.9224,0.67644
130,0,0.3875,2,0.5,1803,0.66979,0.23077,1.0,1.0,0.93274,0.92117
131,0,0.3875,2,0.6125,1803,0.66979,0.23077,1.0,1.0,0.90575,0.94948
132,0,0.3875,2,0.725,1803,0.66979,0.23077,1.0,1.0,0.0,0.96178
133,0,0.3875,2,0.8375,1803,0.66979,0.23077,1.0,1.0,0.0,0.92384
134,0,0.3875,2,0.95,1803,0.66979,0.23077,1.0,1.0,0.0,0.77963
135,0,0.3875,3,0.05,2053,0.53413,0.125,0.30385,1.0,0.73592,0.16629
136,0,0.3875,3,0.1625,2053,0.53413,0.125,0.30385,1.0,0.87815,0.41644
137,0,0.3875,3,0.275,2053,0.53413,0.125,0.30385,1.0,0.88559,0.44014
138,0,0.3875,3,0.3875,2053,0.53413,0.125,0.30385,1.0,0.92478,0.62568
139,0,0.3875,3,0.5,2053,0.53413,0.125,0.30385,1.0,0.93512,0.91982
140,0,0.3875,3,0.6125,2053,0.53413,0.125,0.30385,1.0,0.90826,0.94824
141,0,0.3875,3,0.725,2053,0.53413,0.125,0.30385,1.0,0.0,0.96091
142,0,0.3875,3,0.8375,2053,0.53413,0.125,0.30385,1.0,0.0,0.92384
143,0,0.3875,3,0.95,2053,0.53413,0.125,0.30385,1.0,0.0,0.77963
144,0,0.5,0,0.05,1885,0.52176,0.11111,0.25,1.0,0.65678,0.29753
145,0,0.5,0,0.1625,1885,0.52176,0.11111,0.25,1.0,0.72941,0.5162
146,0,0.5,0,0.275,1885,0.52176,0.11111,0.25,1.0,0.73634,0.54813
147,0,0.5,0,0.3875,1885,0.52176,0.11111,0.25,1.0,0.77307,0.74007
148,0,0.5,0,0.5,1885,0.52176,0.11111,0.25,1.0,0.7888,0.90495
149,0,0.5,0,0.6125,1885,0.52176,0.11111,0.25,1.0,0.76041,0.92776
150,0,0.5,0,0.725,1885,0.52176,0.11111,0.25,1.0,0.0,0.94045
151,0,0.5,0,0.8375,1885,0.52176,0.11111,0.25,1.0,0.0,0.90022
152,0,0.5,0,0.95,1885,0.52176,0.11111,0.25,1.0,0.0,0.75694
153,0,0.5,1,0.05,855,0.87312,1.0,1.0,1.0,0.65804,0.50896
154,0,0.5,1,0.1625,855,0.87312,1.0,1.0,1.0,0.68464,0.72924
155,0,0.5,1,0.275,855,0.87312,1.0,1.0,1.0,0.6921,0.77153
156,0,0.5,1,0.3875,855,0.87312,1.0,1.0,1.0,0.6921,0.80936
157,0,0.5,1,0.5,855,0.87312,1.0,1.0,1.0,0.6959,0.90093
158,0,0.5,1,0.6125,855,0.87312,1.0,1.0,1.0,0.67778,0.92047
159,0,0.5,1,0.725,855,0.87312,1.0,1.0,1.0,0.0,0.92461
160,0,0.5,1,0.8375,855,0.87312,1.0,1.0,1.0,0.0,0.88407
161,0,0.5,1,0.95,855,0.87312,1.0,1.0,1.0,0.0,0.74379
162,0,0.5,2,0.05,1048,0.85426,1.0,1.0,1.0,0.78161,0.36425
163,0,0.5,2,0.1625,1048,0.85426,1.0,1.0,1.0,0.81731,0.63325
164,0,0.5,2,0.275,1048,0.85426,1.0,1.0,1.0,0.82524,0.67427
165,0,0.5,2,0.3875,1048,0.85426,1.0,1.0,1.0,0.82927,0.77517
166,0,0.5,2,0.5,1048,0.85426,1.0,1.0,1.0,0.83333,0.92124
167,0,0.5,2,0.6125,1048,0.85426,1.0,1.0,1.0,0.81592,0.94563
168,0,0.5,2,0.725,1048,0.85426,1.0,1.0,1.0,0.0,0.95585
169,0,0.5,2,0.8375,1048,0.85426,1.0,1.0,1.0,0.0,0.91869
170,0,0.5,2,0.95,1048,0.85426,1.0,1.0,1.0,0.0,0.77596
171,0,0.5,3,0.05,1280,0.70764,0.23077,1.0,1.0,0.76659,0.26351
172,0,0.5,3,0.1625,1280,0.70764,0.23077,1.0,1.0,0.8384,0.53417
173,0,0.5,3,0.275,1280,0.70764,0.23077,1.0,1.0,0.84633,0.56824
174,0,0.5,3,0.3875,1280,0.70764,0.23077,1.0,1.0,0.85646,0.71999
175,0,0.5,3,0.5,1280,0.70764,0.23077,1.0,1.0,0.85851,0.92082
176,0,0.5,3,0.6125,1280,0.70764,0.23077,1.0,1.0,0.83619,0.94549
177,0,0.5,3,0.725,1280,0.70764,0.23077,1.0,1.0,0.0,0.95613
178,0,0.5,3,0.8375,1280,0.70764,0.23077,1.0,1.0,0.0,0.9192
179,0,0.5,3,0.95,1280,0.70764,0.23077,1.0,1.0,0.0,0.77596
180,0,0.6125,0,0.05,223,0.96546,1.0,1.0,1.0,0.25455,0.50375
181,0,0.6125,0,0.1625,223,0.96546,1.0,1.0,1.0,0.25455,0.68763
182,0,0.6125,0,0.275,223,0.96546,1.0,1.0,1.0,0.25642,0.7094
183,0,0.6125,0,0.3875,223,0.96546,1.0,1.0,1.0,0.25642,0.8
184,0,0.6125,0,0.5,223,0.96546,1.0,1.0,1.0,0.25642,0.85728
185,0,0.6125,0,0.6125,223,0.96546,1.0,1.0,1.0,0.25,0.86903
186,0,0.6125,0,0.725,223,0.96546,1.0,1.0,1.0,0.0,0.87275
187,0,0.6125,0,0.8375,223,0.96546,1.0,1.0,1.0,0.0,0.8336
188,0,0.6125,0,0.95,223,0.96546,1.0,1.0,1.0,0.0,0.69557
189,0,0.6125,1,0.05,223,0.96546,1.0,1.0,1.0,0.25455,0.64804
190,0,0.6125,1,0.1625,223,0.96546,1.0,1.0,1.0,0.25455,0.72145
191,0,0.6125,1,0.275,223,0.96546,1.0,1.0,1.0,0.25642,0.73982
192,0,0.6125,1,0.3875,223,0.96546,1.0,1.0,1.0,0.25642,0.7586
193,0,0.6125,1,0.5,223,0.96546,1.0,1.0,1.0,0.25642,0.79448
194,0,0.6125,1,0.6125,223,0.96546,1.0,1.0,1.0,0.25,0.80529
195,0,0.6125,1,0.725,223,0.96546,1.0,1.0,1.0,0.0,0.80592
196,0,0.6125,1,0.8375,223,0.96546,1.0,1.0,1.0,0.0,0.76711
197,0,0.6125,1,0.95,223,0.96546,1.0,1.0,1.0,0.0,0.63894
198,0,0.6125,2,0.05,550,0.83794,1.0,1.0,1.0,0.49552,0.59472
