missing_value,normalization,whitespace,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
1,1,1,1,0.4999658772947519,0.18881,2.01378,0.0418633938902825,0.21295,113968.65917,533.42143,46448.00959,1903.38419,208119.95764,2970.0185,1778.00588,3048.10559,148.20998,640.12289,301.97253,683.97315,152167.02938,164.29937,0.0539775129914934
1,2,1,1,0.4999658772947519,0.18881,2.01378,0.0418633938902825,0.21295,694.7681,533.42143,694.7681,1903.38419,694.7681,2970.0185,1778.00588,3048.10559,148.20998,640.12289,694.7681,694.7681,694.7681,164.29937,0.1678855668834461
1,3,1,1,0.4999658772947519,0.18881,2.01378,0.0418633938902825,0.21295,484.55024,533.42143,300.56517,1903.38419,1171.58857,2970.0185,1778.00588,3048.10559,148.20998,640.12289,301.97253,683.97315,51.18828,164.29937,0.1305993957378482
1,4,1,1,0.4999658772947519,0.18881,2.01378,0.0418633938902825,0.21295,2709.35016,533.42143,950.00242,1903.38419,10957.57852,2970.0185,1778.00588,3048.10559,148.20998,640.12289,3999.37252,3483.8268,2201.85409,164.29937,0.1713123071032796
1,5,1,1,0.4999658772947519,0.18881,2.01378,0.0418633938902825,0.21295,258.41434,533.42143,1092.58541,1903.38419,9460.4231,2970.0185,1778.00588,3048.10559,148.20998,640.12289,3999.37252,3483.8268,2046.48532,164.29937,0.1697774730031244
2,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
2,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
2,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
2,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
2,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
3,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
3,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
3,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
3,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
3,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
4,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2648.2714,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0651735475198252
4,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2648.2714,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1700207704639518
4,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2648.2714,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1703811451476302
4,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2648.2714,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1719667020314899
4,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2648.2714,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.1723350261567202
5,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
5,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
5,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
5,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
5,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
6,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
6,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
6,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
6,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
6,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
7,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
7,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
7,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
7,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
7,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
8,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
8,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
8,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
8,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
8,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
9,1,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.0545756679824011
9,2,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,769.61405,571.81821,769.61405,2114.18863,769.61405,2877.52142,1967.0139,3391.24845,161.4409,729.92987,769.61405,769.61405,769.61405,167.7667,0.1692856509522513
9,3,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,539.31497,571.81821,345.1193,2114.18863,800.96323,2877.52142,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,63.23188,167.7667,0.1480106522516793
9,4,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,3018.2307,571.81821,1045.30995,2114.18863,12216.24514,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2446.99475,167.7667,0.1712324997630455
9,5,1,1,0.5000307106443094,0.19098,2.00332,0.0424190812250513,0.23623,288.78009,571.81821,1203.06599,2114.18863,10548.83194,2877.52142,1967.0139,3391.24845,161.4409,729.92987,4442.92282,3846.58617,2274.14021,167.7667,0.171324580794353
