missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,outlier_after_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
5,3,3,1,0.3497235872235872,0.05442260442260442,0.054998602068937974,0.19652,2.03737,0.043400624082269725,0.3708,1124.18793,1509.4471,683.27361,3155.16144,2380.43183,147.62144,4160.8203,465.83168,9138.53418,20168.21879,526.93084,1150.26139,99.41368,2687.04674,0.13504793533897444
5,3,4,1,0.3497235872235872,0.05442260442260442,0.05407621171377976,0.19891,2.00079,0.04419696666596125,0.44616,1356.92472,1778.10377,762.48215,3655.27863,2908.12707,167.23466,4889.18559,518.39226,10984.54328,24669.0047,598.39034,1313.35649,115.89212,3103.16004,0.1275227697296324
5,3,5,1,0.3497235872235872,0.05442260442260442,0.05358811587664744,0.19858,1.99923,0.04413619558592281,0.45347,1436.03533,1823.46838,791.70425,3697.92855,2948.98638,159.72518,4995.98829,522.87316,11168.57715,25099.96087,588.57995,1280.22085,116.17326,3104.2413,0.12376472776741247
5,3,6,1,0.3497235872235872,0.05442260442260442,0.052491417204094074,0.19716,2.00869,0.04375202183666053,0.45249,1368.75375,1860.62294,783.79153,3658.13259,2933.50186,145.01772,5032.74699,512.36209,11153.84985,25052.66411,567.13672,1241.05672,121.61841,3078.0288,0.13310734593491577
5,3,7,1,0.3497235872235872,0.05442260442260442,0.05167709837907238,0.19545,2.00608,0.04339031369235496,0.44512,1352.70802,1833.13385,755.98056,3593.18429,2947.95991,121.33885,4919.03182,456.68678,11035.08663,24855.55776,527.67176,1222.40637,124.96915,3040.77725,0.12460646780688307
5,4,1,1,0.3497235872235872,0.05,0.05,0.19627,2.02321,0.0434472369306056,0.4816,5584.10137,8887.94649,2212.5132,25936.43837,8541.15632,2886.14258,6211.71162,267.17137,65230.79794,14784.49182,9151.18061,8293.63113,4612.5537,63410.31014,0.13294812515686366
5,4,2,1,0.3497235872235872,0.05,0.0500230343980344,0.20718,2.32754,0.043552772775427996,0.39046,4031.75232,8026.36489,1988.73178,23319.16792,6336.40361,2014.32683,5354.30731,25.69564,63680.18673,13687.78588,7998.48082,7847.51451,3892.41055,63295.59595,0.14036126331943594
5,4,3,1,0.3497235872235872,0.05,0.05011084619567491,0.20077,2.06933,0.044102556823738155,0.35637,4007.24314,6460.58153,1734.15546,18812.53799,6245.84127,1992.00651,4552.30943,151.55242,46809.59937,11032.96631,6889.33365,6191.60711,3316.72439,45793.17612,0.13862169822759357
5,4,4,1,0.3497235872235872,0.05,0.049928524110038,0.19941,2.11716,0.043450645019029864,0.43388,4637.16436,7496.0351,2207.75671,22225.07705,7222.36555,2163.20024,5310.68391,124.96404,55135.41109,13319.42951,8414.72341,7693.78633,3824.43724,53386.06821,0.13900616105695143
5,4,5,1,0.3497235872235872,0.05,0.05003401360544218,0.20325,2.10782,0.044357818640228676,0.44573,4731.26584,7615.03006,2265.82213,22579.07817,7423.94997,2164.23123,5423.59919,125.22262,56048.10876,13537.79492,8675.89557,7966.3859,3891.75429,54663.69859,0.14224109962021372
5,4,6,1,0.3497235872235872,0.05,0.04991480404931342,0.202,2.07489,0.04433036054202089,0.45286,4828.45499,7710.33072,2279.03806,23054.82814,7652.13319,2217.78497,5539.74593,146.06254,57169.26439,13562.68101,8837.09019,8113.78216,3971.54616,56222.866,0.14351848286569605
5,4,7,1,0.3497235872235872,0.05,0.049978500314226175,0.20221,2.05446,0.044529651408899217,0.45593,4912.70169,7814.02135,2265.4364,23394.13832,7784.5603,2274.32862,5651.57217,160.32909,58097.81569,13600.50364,8858.88415,8184.73104,4048.65964,57226.53898,0.1422570459652309
5,5,1,1,0.3497235872235872,0.04990786240786241,0.04990786240786241,0.19627,2.02321,0.0434472369306056,0.4816,449.45848,8887.94649,2505.5427,25936.43837,7154.3191,2886.14258,6211.71162,267.17137,65230.79794,14784.49182,9151.18061,8293.63113,4279.49112,63410.31014,0.13267490006532348
5,5,2,1,0.3497235872235872,0.04990786240786241,0.04998464373464374,0.20718,2.32754,0.043552772775427996,0.39046,226.15948,8026.36489,2237.53415,23319.16792,5256.54301,2014.32683,5354.30731,25.69564,63680.18673,13687.78588,7998.48082,7847.51451,3621.64188,63295.59595,0.14118453445006163
5,5,3,1,0.3497235872235872,0.04990786240786241,0.049983338887037654,0.19834,2.06264,0.043618140671427746,0.35612,322.82844,6553.715,1939.61365,19065.9771,5312.65592,2035.412,4613.8862,164.33197,47300.77712,11114.07121,6865.59793,6170.57758,3143.22158,46212.89504,0.137082301637102
5,5,4,1,0.3497235872235872,0.04990786240786241,0.049991338991858654,0.20017,2.11079,0.04366369238173113,0.43646,343.97267,7550.00668,2492.68414,22415.46483,6107.73875,2203.90098,5359.46121,129.49347,55498.05552,13365.46251,8463.92072,7753.95216,3566.11007,53850.9511,0.1392743740904995
5,5,5,1,0.3497235872235872,0.04990786240786241,0.050023675843874724,0.20335,2.1073,0.04438354997494106,0.44893,345.37976,7635.4004,2570.22949,22682.10596,6222.78321,2164.04092,5443.6658,123.3594,56229.94242,13580.34334,8739.70885,8021.47049,3599.41425,54987.20676,0.14344723634710468
5,5,6,1,0.3497235872235872,0.04990786240786241,0.050008307027745474,0.20093,2.06935,0.044136965845059474,0.45458,362.79206,7793.90708,2563.834,23240.30598,6455.90428,2266.38383,5606.26938,153.0014,57702.66309,13626.00638,8864.30518,8140.23156,3706.76544,56727.39874,0.14214592136609677
5,5,7,1,0.3497235872235872,0.04990786240786241,0.04998520174948206,0.20173,2.04608,0.04448573793246125,0.45814,367.6042,7910.84821,2556.10668,23586.25541,6567.33274,2318.44245,5692.15828,166.92416,58636.35043,13630.86793,8896.60704,8237.36728,3776.12121,57698.47787,0.1426559391639438
6,1,1,1,0.3497235872235872,0.3497235872235872,0.3497235872235872,0.19627,2.02321,0.0434472369306056,0.4816,256991.60794,1045.63104,105269.17313,4429.44119,110794.56174,5803.90182,4031.65787,6698.62701,330.95438,1517.52998,692.9838,1518.9135,344649.22978,316.90654,0.059291506713658654
6,1,2,1,0.3497235872235872,0.3497235872235872,0.2724201474201474,0.20718,2.32754,0.043552772775427996,0.39046,231664.64035,682.92417,97541.26528,3080.3848,96128.64042,4636.33296,2982.91419,5276.01624,181.15028,1272.82324,1011.4668,412.33097,366253.45673,217.68509,0.08037170740627106
6,1,3,1,0.3497235872235872,0.3497235872235872,0.21483136936204794,0.20008,2.07702,0.04389406101760677,0.36914,207769.71882,803.73116,79901.13147,3327.48794,85683.90364,4532.05423,3072.71943,5173.1155,263.55422,1169.88026,502.25413,1142.81847,324618.7637,255.61898,0.059990587581882235
6,1,4,1,0.3497235872235872,0.3497235872235872,0.3214953884530804,0.19571,2.03698,0.04322435956036563,0.45083,249462.12334,990.86721,100510.43976,4058.71221,104246.23516,5548.65617,3794.70465,6391.87374,320.08017,1408.2174,602.58197,1358.31821,356716.94569,307.15248,0.05600788511751384
6,1,5,1,0.3497235872235872,0.3497235872235872,0.33095344816546074,0.19318,2.01924,0.04279307029916763,0.4563,248787.61224,973.75044,103597.1343,4194.22837,106274.74643,5580.08273,3847.40765,6433.45752,326.57304,1423.26388,592.26805,1132.54048,337468.78495,303.72485,0.06432424779452331
6,1,6,1,0.3497235872235872,0.3497235872235872,0.3262957710159876,0.19209,2.00853,0.042628265438557196,0.44672,245651.20325,973.50439,104126.37109,4060.31425,105262.87231,5544.61384,3776.51678,6378.33132,311.65337,1414.38419,566.50346,747.35388,329846.11487,301.53842,0.059017368043650695
6,1,7,1,0.3497235872235872,0.3497235872235872,0.3182773799356153,0.18926,1.98539,0.042160868351756836,0.42989,239462.08274,925.61419,103640.81027,3965.14472,103063.92756,5376.08481,3649.29507,6189.0089,294.90743,1370.81432,523.33422,345.97319,322907.62664,294.46857,0.043741256011815444
6,2,1,1,0.3497235872235872,0.05006142506142506,0.05006142506142506,0.19627,2.02321,0.0434472369306056,0.4816,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,0.13071979812364418
6,2,2,1,0.3497235872235872,0.05006142506142506,0.0500230343980344,0.20718,2.32754,0.043552772775427996,0.39046,2088.10303,771.86746,2305.51255,679.29743,1902.79608,1754.78555,1010.94774,2620.54856,141.07055,742.07693,7876.19191,7923.82297,955.57795,120.66612,0.1364437491691566
6,2,3,1,0.3497235872235872,0.05006142506142506,0.04956956956956957,0.2,2.05879,0.04401132132372627,0.37258,1308.1172,1208.11059,1372.16204,1256.68172,1157.69265,1349.83325,1203.73059,1327.09943,1269.11531,1167.92131,1392.2694,1260.72106,1147.52037,1305.67689,0.13447569518187677
6,2,4,1,0.3497235872235872,0.05006142506142506,0.04977094240837696,0.20111,2.03868,0.04440558102436473,0.45372,1541.86803,1457.92233,1633.49578,1476.14263,1426.98458,1660.69173,1399.57117,1607.94393,1515.66221,1467.81858,1683.87825,1557.21217,1447.45025,1491.62645,0.1361484575232786
6,2,5,1,0.3497235872235872,0.05006142506142506,0.05015523477258906,0.20061,2.02713,0.04437924586112991,0.46269,1599.12367,1507.3307,1688.7449,1497.70077,1460.08511,1673.66547,1464.05896,1584.61847,1573.22571,1524.58269,1826.90577,1624.93257,1501.09393,1494.35379,0.13558743401898013
6,2,6,1,0.3497235872235872,0.05006142506142506,0.0501361017914794,0.19904,2.017,0.04410677296291529,0.46447,1631.69887,1528.87244,1701.89473,1499.93698,1486.67573,1631.81825,1477.37948,1557.49896,1546.39869,1548.36365,1910.29379,1702.70149,1567.46248,1467.92509,0.13398217702692547
6,2,7,1,0.3497235872235872,0.05006142506142506,0.050182826881856005,0.19808,2.01416,0.04391579239458439,0.46527,1665.75123,1545.46581,1755.40218,1493.53513,1491.64072,1605.29769,1494.14173,1540.95701,1539.49184,1555.70256,1974.45121,1759.21553,1630.52667,1464.08033,0.13376314192205768
6,3,1,1,0.3497235872235872,0.05442260442260442,0.05442260442260442,0.19627,2.02321,0.0434472369306056,0.4816,1314.21053,1955.97836,708.50886,3973.73673,2967.65431,168.54227,5415.74235,587.18775,11916.05078,26318.41138,692.9838,1518.9135,121.85538,3413.60743,0.12689145097778531
6,3,2,1,0.3497235872235872,0.05442260442260442,0.05056050368550369,0.20718,2.32754,0.043552772775427996,0.39046,1709.18085,1010.26202,1208.6718,2311.94127,2051.08782,282.89095,3972.36081,1188.5211,8558.35542,19570.5406,1011.4668,412.33097,1.72218,1483.68444,0.11738076661392273
6,3,3,1,0.3497235872235872,0.05442260442260442,0.054998602068937974,0.19652,2.03737,0.043400624082269725,0.3708,1124.18793,1509.4471,683.27361,3155.16144,2380.43183,147.62144,4160.8203,465.83168,9138.53418,20168.21879,526.93084,1150.26139,99.41368,2687.04674,0.13504793533897444
6,3,4,1,0.3497235872235872,0.05442260442260442,0.05407621171377976,0.19891,2.00079,0.04419696666596125,0.44616,1356.92472,1778.10377,762.48215,3655.27863,2908.12707,167.23466,4889.18559,518.39226,10984.54328,24669.0047,598.39034,1313.35649,115.89212,3103.16004,0.1275227697296324
6,3,5,1,0.3497235872235872,0.05442260442260442,0.05358811587664744,0.19858,1.99923,0.04413619558592281,0.45347,1436.03533,1823.46838,791.70425,3697.92855,2948.98638,159.72518,4995.98829,522.87316,11168.57715,25099.96087,588.57995,1280.22085,116.17326,3104.2413,0.12376472776741247
6,3,6,1,0.3497235872235872,0.05442260442260442,0.052491417204094074,0.19716,2.00869,0.04375202183666053,0.45249,1368.75375,1860.62294,783.79153,3658.13259,2933.50186,145.01772,5032.74699,512.36209,11153.84985,25052.66411,567.13672,1241.05672,121.61841,3078.0288,0.13310734593491577
6,3,7,1,0.3497235872235872,0.05442260442260442,0.05167709837907238,0.19545,2.00608,0.04339031369235496,0.44512,1352.70802,1833.13385,755.98056,3593.18429,2947.95991,121.33885,4919.03182,456.68678,11035.08663,24855.55776,527.67176,1222.40637,124.96915,3040.77725,0.12460646780688307
6,4,1,1,0.3497235872235872,0.05,0.05,0.19627,2.02321,0.0434472369306056,0.4816,5584.10137,8887.94649,2212.5132,25936.43837,8541.15632,2886.14258,6211.71162,267.17137,65230.79794,14784.49182,9151.18061,8293.63113,4612.5537,63410.31014,0.13294812515686366
6,4,2,1,0.3497235872235872,0.05,0.0500230343980344,0.20718,2.32754,0.043552772775427996,0.39046,4031.75232,8026.36489,1988.73178,23319.16792,6336.40361,2014.32683,5354.30731,25.69564,63680.18673,13687.78588,7998.48082,7847.51451,3892.41055,63295.59595,0.14036126331943594
6,4,3,1,0.3497235872235872,0.05,0.05011084619567491,0.20077,2.06933,0.044102556823738155,0.35637,4007.24314,6460.58153,1734.15546,18812.53799,6245.84127,1992.00651,4552.30943,151.55242,46809.59937,11032.96631,6889.33365,6191.60711,3316.72439,45793.17612,0.13862169822759357
6,4,4,1,0.3497235872235872,0.05,0.049928524110038,0.19941,2.11716,0.043450645019029864,0.43388,4637.16436,7496.0351,2207.75671,22225.07705,7222.36555,2163.20024,5310.68391,124.96404,55135.41109,13319.42951,8414.72341,7693.78633,3824.43724,53386.06821,0.13900616105695143
6,4,5,1,0.3497235872235872,0.05,0.05003401360544218,0.20325,2.10782,0.044357818640228676,0.44573,4731.26584,7615.03006,2265.82213,22579.07817,7423.94997,2164.23123,5423.59919,125.22262,56048.10876,13537.79492,8675.89557,7966.3859,3891.75429,54663.69859,0.14224109962021372
6,4,6,1,0.3497235872235872,0.05,0.04991480404931342,0.202,2.07489,0.04433036054202089,0.45286,4828.45499,7710.33072,2279.03806,23054.82814,7652.13319,2217.78497,5539.74593,146.06254,57169.26439,13562.68101,8837.09019,8113.78216,3971.54616,56222.866,0.14351848286569605
6,4,7,1,0.3497235872235872,0.05,0.049978500314226175,0.20221,2.05446,0.044529651408899217,0.45593,4912.70169,7814.02135,2265.4364,23394.13832,7784.5603,2274.32862,5651.57217,160.32909,58097.81569,13600.50364,8858.88415,8184.73104,4048.65964,57226.53898,0.1422570459652309
6,5,1,1,0.3497235872235872,0.04990786240786241,0.04990786240786241,0.19627,2.02321,0.0434472369306056,0.4816,449.45848,8887.94649,2505.5427,25936.43837,7154.3191,2886.14258,6211.71162,267.17137,65230.79794,14784.49182,9151.18061,8293.63113,4279.49112,63410.31014,0.13267490006532348
6,5,2,1,0.3497235872235872,0.04990786240786241,0.04998464373464374,0.20718,2.32754,0.043552772775427996,0.39046,226.15948,8026.36489,2237.53415,23319.16792,5256.54301,2014.32683,5354.30731,25.69564,63680.18673,13687.78588,7998.48082,7847.51451,3621.64188,63295.59595,0.14118453445006163
6,5,3,1,0.3497235872235872,0.04990786240786241,0.049983338887037654,0.19834,2.06264,0.043618140671427746,0.35612,322.82844,6553.715,1939.61365,19065.9771,5312.65592,2035.412,4613.8862,164.33197,47300.77712,11114.07121,6865.59793,6170.57758,3143.22158,46212.89504,0.137082301637102
6,5,4,1,0.3497235872235872,0.04990786240786241,0.049991338991858654,0.20017,2.11079,0.04366369238173113,0.43646,343.97267,7550.00668,2492.68414,22415.46483,6107.73875,2203.90098,5359.46121,129.49347,55498.05552,13365.46251,8463.92072,7753.95216,3566.11007,53850.9511,0.1392743740904995
6,5,5,1,0.3497235872235872,0.04990786240786241,0.050023675843874724,0.20335,2.1073,0.04438354997494106,0.44893,345.37976,7635.4004,2570.22949,22682.10596,6222.78321,2164.04092,5443.6658,123.3594,56229.94242,13580.34334,8739.70885,8021.47049,3599.41425,54987.20676,0.14344723634710468
6,5,6,1,0.3497235872235872,0.04990786240786241,0.050008307027745474,0.20093,2.06935,0.044136965845059474,0.45458,362.79206,7793.90708,2563.834,23240.30598,6455.90428,2266.38383,5606.26938,153.0014,57702.66309,13626.00638,8864.30518,8140.23156,3706.76544,56727.39874,0.14214592136609677
6,5,7,1,0.3497235872235872,0.04990786240786241,0.04998520174948206,0.20173,2.04608,0.04448573793246125,0.45814,367.6042,7910.84821,2556.10668,23586.25541,6567.33274,2318.44245,5692.15828,166.92416,58636.35043,13630.86793,8896.60704,8237.36728,3776.12121,57698.47787,0.1426559391639438
7,1,1,1,0.3497235872235872,0.3497235872235872,0.3497235872235872,0.19627,2.02321,0.0434472369306056,0.4816,256991.60794,1045.63104,105269.17313,4429.44119,110794.56174,5803.90182,4031.65787,6698.62701,330.95438,1517.52998,692.9838,1518.9135,344649.22978,316.90654,0.059291506713658654
7,1,2,1,0.3497235872235872,0.3497235872235872,0.2724201474201474,0.20718,2.32754,0.043552772775427996,0.39046,231664.64035,682.92417,97541.26528,3080.3848,96128.64042,4636.33296,2982.91419,5276.01624,181.15028,1272.82324,1011.4668,412.33097,366253.45673,217.68509,0.08037170740627106
7,1,3,1,0.3497235872235872,0.3497235872235872,0.21483136936204794,0.20008,2.07702,0.04389406101760677,0.36914,207769.71882,803.73116,79901.13147,3327.48794,85683.90364,4532.05423,3072.71943,5173.1155,263.55422,1169.88026,502.25413,1142.81847,324618.7637,255.61898,0.059990587581882235
7,1,4,1,0.3497235872235872,0.3497235872235872,0.3214953884530804,0.19571,2.03698,0.04322435956036563,0.45083,249462.12334,990.86721,100510.43976,4058.71221,104246.23516,5548.65617,3794.70465,6391.87374,320.08017,1408.2174,602.58197,1358.31821,356716.94569,307.15248,0.05600788511751384
7,1,5,1,0.3497235872235872,0.3497235872235872,0.33095344816546074,0.19318,2.01924,0.04279307029916763,0.4563,248787.61224,973.75044,103597.1343,4194.22837,106274.74643,5580.08273,3847.40765,6433.45752,326.57304,1423.26388,592.26805,1132.54048,337468.78495,303.72485,0.06432424779452331
7,1,6,1,0.3497235872235872,0.3497235872235872,0.3262957710159876,0.19209,2.00853,0.042628265438557196,0.44672,245651.20325,973.50439,104126.37109,4060.31425,105262.87231,5544.61384,3776.51678,6378.33132,311.65337,1414.38419,566.50346,747.35388,329846.11487,301.53842,0.059017368043650695
7,1,7,1,0.3497235872235872,0.3497235872235872,0.3182773799356153,0.18926,1.98539,0.042160868351756836,0.42989,239462.08274,925.61419,103640.81027,3965.14472,103063.92756,5376.08481,3649.29507,6189.0089,294.90743,1370.81432,523.33422,345.97319,322907.62664,294.46857,0.043741256011815444
7,2,1,1,0.3497235872235872,0.05006142506142506,0.05006142506142506,0.19627,2.02321,0.0434472369306056,0.4816,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,1596.33851,0.13071979812364418
7,2,2,1,0.3497235872235872,0.05006142506142506,0.0500230343980344,0.20718,2.32754,0.043552772775427996,0.39046,2088.10303,771.86746,2305.51255,679.29743,1902.79608,1754.78555,1010.94774,2620.54856,141.07055,742.07693,7876.19191,7923.82297,955.57795,120.66612,0.1364437491691566
7,2,3,1,0.3497235872235872,0.05006142506142506,0.04956956956956957,0.2,2.05879,0.04401132132372627,0.37258,1308.1172,1208.11059,1372.16204,1256.68172,1157.69265,1349.83325,1203.73059,1327.09943,1269.11531,1167.92131,1392.2694,1260.72106,1147.52037,1305.67689,0.13447569518187677
7,2,4,1,0.3497235872235872,0.05006142506142506,0.04977094240837696,0.20111,2.03868,0.04440558102436473,0.45372,1541.86803,1457.92233,1633.49578,1476.14263,1426.98458,1660.69173,1399.57117,1607.94393,1515.66221,1467.81858,1683.87825,1557.21217,1447.45025,1491.62645,0.1361484575232786
7,2,5,1,0.3497235872235872,0.05006142506142506,0.05015523477258906,0.20061,2.02713,0.04437924586112991,0.46269,1599.12367,1507.3307,1688.7449,1497.70077,1460.08511,1673.66547,1464.05896,1584.61847,1573.22571,1524.58269,1826.90577,1624.93257,1501.09393,1494.35379,0.13558743401898013
7,2,6,1,0.3497235872235872,0.05006142506142506,0.0501361017914794,0.19904,2.017,0.04410677296291529,0.46447,1631.69887,1528.87244,1701.89473,1499.93698,1486.67573,1631.81825,1477.37948,1557.49896,1546.39869,1548.36365,1910.29379,1702.70149,1567.46248,1467.92509,0.13398217702692547
7,2,7,1,0.3497235872235872,0.05006142506142506,0.050182826881856005,0.19808,2.01416,0.04391579239458439,0.46527,1665.75123,1545.46581,1755.40218,1493.53513,1491.64072,1605.29769,1494.14173,1540.95701,1539.49184,1555.70256,1974.45121,1759.21553,1630.52667,1464.08033,0.13376314192205768
7,3,1,1,0.3497235872235872,0.05442260442260442,0.05442260442260442,0.19627,2.02321,0.0434472369306056,0.4816,1314.21053,1955.97836,708.50886,3973.73673,2967.65431,168.54227,5415.74235,587.18775,11916.05078,26318.41138,692.9838,1518.9135,121.85538,3413.60743,0.12689145097778531
7,3,2,1,0.3497235872235872,0.05442260442260442,0.05056050368550369,0.20718,2.32754,0.043552772775427996,0.39046,1709.18085,1010.26202,1208.6718,2311.94127,2051.08782,282.89095,3972.36081,1188.5211,8558.35542,19570.5406,1011.4668,412.33097,1.72218,1483.68444,0.11738076661392273
7,3,3,1,0.3497235872235872,0.05442260442260442,0.054998602068937974,0.19652,2.03737,0.043400624082269725,0.3708,1124.18793,1509.4471,683.27361,3155.16144,2380.43183,147.62144,4160.8203,465.83168,9138.53418,20168.21879,526.93084,1150.26139,99.41368,2687.04674,0.13504793533897444
7,3,4,1,0.3497235872235872,0.05442260442260442,0.05407621171377976,0.19891,2.00079,0.04419696666596125,0.44616,1356.92472,1778.10377,762.48215,3655.27863,2908.12707,167.23466,4889.18559,518.39226,10984.54328,24669.0047,598.39034,1313.35649,115.89212,3103.16004,0.1275227697296324
7,3,5,1,0.3497235872235872,0.05442260442260442,0.05358811587664744,0.19858,1.99923,0.04413619558592281,0.45347,1436.03533,1823.46838,791.70425,3697.92855,2948.98638,159.72518,4995.98829,522.87316,11168.57715,25099.96087,588.57995,1280.22085,116.17326,3104.2413,0.12376472776741247
7,3,6,1,0.3497235872235872,0.05442260442260442,0.052491417204094074,0.19716,2.00869,0.04375202183666053,0.45249,1368.75375,1860.62294,783.79153,3658.13259,2933.50186,145.01772,5032.74699,512.36209,11153.84985,25052.66411,567.13672,1241.05672,121.61841,3078.0288,0.13310734593491577
7,3,7,1,0.3497235872235872,0.05442260442260442,0.05167709837907238,0.19545,2.00608,0.04339031369235496,0.44512,1352.70802,1833.13385,755.98056,3593.18429,2947.95991,121.33885,4919.03182,456.68678,11035.08663,24855.55776,527.67176,1222.40637,124.96915,3040.77725,0.12460646780688307
7,4,1,1,0.3497235872235872,0.05,0.05,0.19627,2.02321,0.0434472369306056,0.4816,5584.10137,8887.94649,2212.5132,25936.43837,8541.15632,2886.14258,6211.71162,267.17137,65230.79794,14784.49182,9151.18061,8293.63113,4612.5537,63410.31014,0.13294812515686366
7,4,2,1,0.3497235872235872,0.05,0.0500230343980344,0.20718,2.32754,0.043552772775427996,0.39046,4031.75232,8026.36489,1988.73178,23319.16792,6336.40361,2014.32683,5354.30731,25.69564,63680.18673,13687.78588,7998.48082,7847.51451,3892.41055,63295.59595,0.14036126331943594
7,4,3,1,0.3497235872235872,0.05,0.05011084619567491,0.20077,2.06933,0.044102556823738155,0.35637,4007.24314,6460.58153,1734.15546,18812.53799,6245.84127,1992.00651,4552.30943,151.55242,46809.59937,11032.96631,6889.33365,6191.60711,3316.72439,45793.17612,0.13862169822759357
7,4,4,1,0.3497235872235872,0.05,0.049928524110038,0.19941,2.11716,0.043450645019029864,0.43388,4637.16436,7496.0351,2207.75671,22225.07705,7222.36555,2163.20024,5310.68391,124.96404,55135.41109,13319.42951,8414.72341,7693.78633,3824.43724,53386.06821,0.13900616105695143
