missing_value,normalization,model,outlier_bef_normalization_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,1,1,0.42996108949416345,9.178217821782178,378.27,0.34,599.22,1.0,781.91,0.24,2147.35,0.33,267.53,0.02,9184.92,0.37,6574.18,0.6,3865.72,0.28,0.0933852140077821
1,2,1,0.42996108949416345,9.178217821782178,1535.03,0.34,1535.03,1.0,1535.03,0.24,1535.03,0.33,1535.03,0.02,1535.03,0.37,1535.03,0.6,1535.03,0.28,0.0928988326848249
1,3,1,0.42996108949416345,9.178217821782178,10112.18,0.34,10684.1,1.0,1842.69,0.24,2147.35,0.33,14617.89,0.02,6194.74,0.37,1422.54,0.6,860.22,0.28,0.0933852140077821
1,4,1,0.42996108949416345,9.178217821782178,378.27,0.34,599.22,1.0,3650.37,0.24,2147.35,0.33,3357.43,0.02,703.08,0.37,2065.06,0.6,1611.99,0.28,0.09581712062256809
1,5,1,0.42996108949416345,9.178217821782178,378.27,0.34,599.22,1.0,6919.66,0.24,2147.35,0.33,14617.89,0.02,703.08,0.37,2583.89,0.6,1611.99,0.28,0.0943579766536965
2,1,1,0.4494163424124514,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,358.03,0.22,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
2,2,1,0.4494163424124514,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.22,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09844357976653695
2,3,1,0.4494163424124514,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18381.33,0.22,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
2,4,1,0.4494163424124514,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4056.3,0.22,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
2,5,1,0.4494163424124514,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18381.33,0.22,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09844357976653695
3,1,1,0.41167315175097274,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,333.77,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
3,2,1,0.41167315175097274,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.02,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09844357976653695
3,3,1,0.41167315175097274,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18544.92,0.02,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
3,4,1,0.41167315175097274,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4099.4,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
3,5,1,0.41167315175097274,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18544.92,0.02,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09844357976653695
4,1,1,0.41167315175097274,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,333.77,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
4,2,1,0.41167315175097274,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.02,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09844357976653695
4,3,1,0.41167315175097274,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18544.92,0.02,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
4,4,1,0.41167315175097274,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4099.4,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
4,5,1,0.41167315175097274,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18544.92,0.02,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09844357976653695
5,1,1,0.40622568093385214,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,341.01,0.02,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
5,2,1,0.40622568093385214,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.02,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09805447470817119
5,3,1,0.40622568093385214,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,17991.95,0.02,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
5,4,1,0.40622568093385214,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4043.0,0.02,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09922178988326846
5,5,1,0.40622568093385214,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,17991.95,0.02,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09805447470817119
6,1,1,0.3743190661478599,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,347.58,0.03,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09766536964980543
6,2,1,0.3743190661478599,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.03,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09805447470817119
6,3,1,0.3743190661478599,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18338.64,0.03,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09766536964980543
6,4,1,0.3743190661478599,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4065.08,0.03,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
6,5,1,0.3743190661478599,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18338.64,0.03,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09844357976653695
7,1,1,0.378988326848249,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,350.88,0.04,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
7,2,1,0.378988326848249,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.04,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09805447470817119
7,3,1,0.378988326848249,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18351.31,0.04,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
7,4,1,0.378988326848249,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4062.21,0.04,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
7,5,1,0.378988326848249,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18351.31,0.04,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09805447470817119
8,1,1,0.3603112840466926,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,353.21,0.07,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
8,2,1,0.3603112840466926,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.07,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09766536964980543
8,3,1,0.3603112840466926,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18365.9,0.07,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
8,4,1,0.3603112840466926,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4060.68,0.07,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
8,5,1,0.3603112840466926,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18365.9,0.07,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09844357976653695
9,1,1,0.3540856031128405,8.846743295019158,457.71,0.34,744.38,1.0,997.59,0.24,2592.36,0.34,351.82,0.08,11359.93,0.37,8269.57,0.6,4867.3,0.27,0.09805447470817119
9,2,1,0.3540856031128405,8.846743295019158,1900.31,0.34,1900.31,1.0,1900.31,0.24,1900.31,0.34,1900.31,0.08,1900.31,0.37,1900.31,0.6,1900.31,0.27,0.09844357976653695
9,3,1,0.3540856031128405,8.846743295019158,12472.04,0.34,13234.35,1.0,2194.27,0.24,2592.36,0.34,18395.83,0.08,7663.49,0.37,3831.5,0.6,1089.89,0.27,0.09805447470817119
9,4,1,0.3540856031128405,8.846743295019158,457.71,0.34,744.38,1.0,4351.11,0.24,2592.36,0.34,4064.89,0.08,844.51,0.37,2485.83,0.6,1963.5,0.27,0.09961089494163422
9,5,1,0.3540856031128405,8.846743295019158,457.71,0.34,744.38,1.0,8312.69,0.24,2592.36,0.34,18395.83,0.08,844.51,0.37,3125.5,0.6,1963.5,0.27,0.09844357976653695
