sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
4.0,3.0,8.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.1557574633784535,0.1557574633784535,0.12202,0.94447,0.0304892466155289,2.3166202414113277,429.85,0.39,0.0,1.0,581.24,0.3,73.75,0.42,187.7,0.14,236.9,0.26,73.13,0.5,247.69,0.68,0.0,1.0,62.5,1.0,1541.47,1.0,1541.47,1.0,726.52,0.28,0.0,1.0,0.2030738627539262
2.0,4.0,8.0,1.0,1.0,4.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,0.1657571623465211,0.1657571623465211,0.12492,1.91338,0.0281677382489156,2.0631199278629397,4.87,0.45,0.0,1.0,37.35,0.34,87.51,0.42,2487.17,0.16,177.42,0.22,105.13,0.52,178.09,0.33,0.0,1.0,53.78,0.34,1646.05,1.0,1646.05,1.0,1645.24,0.25,0.0,1.0,0.1336500411709937
4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.1891340626738364,0.1891340626738364,0.09294,0.94738,0.0232200335313669,2.376590330788804,344852.87,0.53,43.69,0.0,182740.24,0.28,234.09,0.0,107032.79,0.26,413.78,0.0,204.43,0.0,433.21,0.0,15.68,0.0,95.71,0.0,3908.12,1.0,3908.12,1.0,3908.11,0.3,42.19,0.0,0.122139227663492
2.0,1.0,8.0,4.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.1458617553433378,0.1458617553433378,0.12301,1.88104,0.027886948058843,2.142405063291139,5492.67,0.42,0.0,1.0,496.16,0.34,86.26,0.43,1114.35,0.17,155.79,0.23,89.08,0.53,157.76,0.34,0.0,1.0,46.52,0.35,1390.03,1.0,1390.03,1.0,1390.03,0.31,0.0,1.0,0.1491614167159756
2.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,0.1702497952497952,0.1702497952497952,0.11536,1.95153,0.025845919889497,1.8551580409864536,58302.51,0.32,100.24,0.0,1918144.24,0.2,341.78,0.0,110845.28,0.3,392.89,0.0,330.22,0.0,469.87,0.0,41.0,0.0,107.18,0.0,1057.91,0.19,0.15,0.05,0.15,0.15,46.6,0.0,0.2098929902767982
2.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.1737153251477944,0.1737153251477944,0.13744,1.90805,0.0310177893518389,1.9865092748735245,1083.14,0.52,0.0,1.0,734.31,0.24,100.19,0.41,505.03,0.15,226.17,0.22,108.77,0.52,230.34,0.34,0.0,1.0,67.16,0.34,1782.52,1.0,1782.52,1.0,622.06,0.2,0.0,1.0,0.2053682711140127
4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.1891340626738364,0.1891340626738364,0.09294,0.94738,0.0232200335313669,2.376590330788804,344852.87,0.53,43.69,0.0,182740.24,0.28,234.09,0.0,107032.79,0.26,413.78,0.0,204.43,0.0,433.21,0.0,15.68,0.0,95.71,0.0,3908.12,1.0,3908.12,1.0,3908.11,0.3,42.19,0.0,0.122139227663492
2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,0.1458617553433378,0.1458617553433378,0.12284,1.87838,0.0278587548999689,2.1389473684210527,1090.53,0.41,0.0,1.0,431.77,0.34,87.46,0.43,1313.45,0.17,157.32,0.23,88.82,0.53,159.52,0.34,0.0,1.0,46.43,0.35,1393.68,1.0,1393.68,1.0,1393.68,0.35,0.0,1.0,0.1516555095691786
2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.1474201474201474,0.1474201474201474,0.11551,1.84441,0.0263402077341118,2.1198465963566635,404.87,0.45,0.0,1.0,494.45,0.33,96.55,0.42,217.81,0.16,139.17,0.2,102.75,0.52,179.64,0.34,0.0,1.0,44.92,0.35,1534.55,1.0,1534.55,1.0,627.95,0.3,0.0,1.0,0.1253397076856792
2.0,3.0,8.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.1875852660300136,0.187244201909959,0.13052,1.86228,0.0296792133556202,2.053728070175439,0.01,0.43,0.0,1.0,157.28,0.23,77.11,0.41,106.64,0.14,166.23,0.22,81.73,0.53,168.63,0.34,0.0,1.0,48.38,0.35,7651.19,1.0,3715.57,1.0,3715.56,0.23,0.0,1.0,0.1410324909419673
4.0,4.0,6.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.1655850176154274,0.1655850176154274,0.09745,0.92476,0.024327684706893,2.3677366924014627,278184.25,0.39,38.43,0.0,2471367.01,0.25,193.01,0.0,152717.75,0.24,403.07,0.0,172.84,0.0,422.72,0.0,15.95,0.0,93.64,0.0,3499.97,1.0,3499.97,1.0,3498.93,0.23,40.42,0.0,0.1443534922478603
2.0,1.0,9.0,3.0,1.0,1.0,1.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,0.1458617553433378,0.1458617553433378,0.11734,2.0089,0.0260398326379501,1.9145122371596,935.12,0.27,111.39,0.3,607.44,0.31,333.32,0.28,1367.55,0.28,435.85,0.22,325.23,0.41,448.22,0.34,36.18,0.14,114.09,0.33,170.87,0.16,256.76,0.03,259.87,0.13,45.6,0.1,0.1699264615491301
3.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,0.1626321172860552,0.1626321172860552,0.09631,2.04153,0.0212582555039113,1.912611198325484,56258.88,0.3,52.59,0.0,70395.28,0.28,242.25,0.0,108073.07,0.28,325.01,0.0,212.25,0.0,336.41,0.0,13.18,0.0,50.11,0.0,542.1,0.17,173.3,0.04,174.67,0.16,49.02,0.0,0.1267104293186365
2.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,0.1582719082719082,0.1582719082719082,0.11645,2.01446,0.0258172111710623,1.9025371287128712,1022.08,0.31,114.21,0.3,1458.57,0.29,334.12,0.29,1234.17,0.29,415.62,0.19,342.27,0.41,529.7,0.34,42.31,0.14,124.35,0.33,869.84,0.16,162.33,0.03,296.19,0.14,50.44,0.09,0.1907388684927383
2.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0.1703521703521703,0.1680999180999181,0.13163,1.89158,0.0297861387150653,1.9833711262282692,777.73,0.51,0.0,1.0,224.68,0.25,107.79,0.41,131.47,0.15,200.66,0.2,130.0,0.52,251.21,0.34,0.0,1.0,68.84,0.35,6554.83,1.0,5329.34,1.0,5329.33,0.24,0.0,1.0,0.1956688031823585
4.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.1646578898572223,0.1646578898572223,0.13567,0.96356,0.0339133680440719,2.2405345211581293,1327.07,0.58,0.0,1.0,773.24,0.24,98.42,0.41,291.51,0.14,309.14,0.26,95.37,0.5,323.66,0.68,0.0,1.0,93.47,1.0,1947.75,1.0,1947.75,1.0,795.33,0.22,0.0,1.0,0.2064002389079788
2.0,3.0,9.0,4.0,1.0,4.0,1.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,0.1567758071850841,0.1567758071850841,0.12188,1.89052,0.0275814365504469,1.9000734753857456,7141.03,0.29,106.94,0.3,20.99,0.29,335.26,0.29,6530.93,0.29,449.03,0.22,299.09,0.4,460.44,0.34,31.68,0.15,116.91,0.35,3340.84,0.16,3297.87,0.04,3296.05,0.15,53.96,0.1,0.1880038464830842
4.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,0.1808826256258112,0.1808826256258112,0.12551,0.94865,0.0313644004122232,2.3043062200956936,7789.82,0.4,0.0,1.0,630.58,0.24,72.19,0.41,4143.62,0.14,241.57,0.26,70.64,0.51,254.24,0.69,0.0,1.0,63.79,1.0,1498.06,1.0,1498.06,1.0,1498.01,0.23,0.0,1.0,0.1345354331977499
2.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,0.1567758071850841,0.1567758071850841,0.12188,1.89052,0.0275814365504469,1.9000734753857456,7141.03,0.29,106.94,0.3,20.99,0.29,335.26,0.29,6530.93,0.29,449.03,0.22,299.09,0.4,460.44,0.34,31.68,0.15,116.91,0.35,3340.84,0.16,3297.87,0.04,3296.05,0.15,53.96,0.1,0.1880038464830842
4.0,1.0,9.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,0.1363804932319673,0.1363804932319673,0.11628,0.93835,0.0290485389836928,2.3370577281191807,1183.1,0.48,0.0,1.0,543.9,0.35,77.23,0.42,1977.68,0.15,226.44,0.27,67.48,0.5,238.92,0.68,0.0,1.0,57.11,1.0,1533.12,1.0,1533.12,1.0,1533.12,0.23,0.0,1.0,0.1858750660455141
2.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,0.1840609367894497,0.1840609367894497,0.11796,1.91532,0.0265862036375383,1.8946188340807175,55660.13,0.32,110.18,0.0,1776346.43,0.2,346.7,0.0,105762.0,0.29,466.83,0.0,336.26,0.0,475.26,0.0,27.15,0.0,106.9,0.0,1003.26,0.19,0.57,0.04,0.56,0.2,45.27,0.0,0.2094334692677343
2.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.1715806715806715,0.1715806715806715,0.12509,1.84495,0.0285227450042129,2.0581854043392505,6244.21,0.45,0.0,1.0,3957.46,0.25,88.67,0.41,3909.45,0.14,144.41,0.2,100.61,0.52,184.72,0.34,0.0,1.0,49.69,0.35,1506.18,1.0,1506.18,1.0,1506.14,0.3,0.0,1.0,0.1413003708958526
3.0,1.0,6.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.1626321172860552,0.1626321172860552,0.10847,1.91265,0.024468612692735,2.06984126984127,243.71,0.5,0.0,1.0,388.78,0.28,76.36,0.42,124.9,0.15,121.88,0.21,56.16,0.51,122.2,0.33,0.0,1.0,22.87,0.34,933.89,1.0,933.89,1.0,320.47,0.32,0.0,1.0,0.1114434114410397
3.0,2.0,6.0,4.0,2.0,3.0,1.0,2.0,8.0,2.0,2.0,1.0,1.0,1.0,0.1703034435731333,0.169962495738152,0.09375,2.02052,0.0207652569760577,1.9191662430096592,566.87,0.39,59.72,0.31,573.27,0.23,248.63,0.28,540.35,0.28,344.02,0.21,218.99,0.41,353.59,0.34,18.48,0.14,49.21,0.33,576.15,0.1,682.66,0.04,682.66,0.2,48.41,0.1,0.1572052473512823
2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,0.1728091728091728,0.173013923013923,0.12285,1.93077,0.0276205559111373,2.03909026297086,3932.21,0.55,0.0,1.0,191.39,0.29,114.75,0.43,1049.99,0.18,197.44,0.2,136.0,0.52,245.55,0.33,0.0,1.0,65.15,0.34,2096.52,1.0,2096.52,1.0,2096.51,0.23,0.0,1.0,0.1952677406804812
4.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.1325,0.138,0.1122,0.93462,0.0280238881476156,2.304383788254756,14.11,0.49,0.0,1.0,816.61,0.34,78.43,0.15,166.59,0.15,202.99,0.24,74.45,0.5,264.79,0.49,0.0,1.0,58.97,1.0,3806.88,1.0,4870.12,1.0,4870.12,0.25,0.0,1.0,0.2052152203640743
4.0,1.0,3.0,4.0,2.0,4.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,0.1557574633784535,0.1557574633784535,0.12202,0.94447,0.0304892466155289,2.3166202414113277,7688.46,0.39,0.0,1.0,23.18,0.3,73.75,0.42,4236.03,0.14,236.9,0.26,73.13,0.5,247.69,0.68,0.0,1.0,62.5,1.0,1541.47,1.0,1541.47,1.0,1540.39,0.28,0.0,1.0,0.2030738627539262
4.0,3.0,6.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,0.1521416651214537,0.1521416651214537,0.12104,0.94102,0.0302397220178027,2.3151571164510165,427.97,0.47,0.0,1.0,585.82,0.29,71.77,0.42,189.23,0.14,235.48,0.26,71.15,0.5,245.54,0.68,0.0,1.0,61.73,1.0,1548.92,1.0,1548.92,1.0,718.38,0.24,0.0,1.0,0.2042081456975074
2.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.1458617553433378,0.1458617553433378,0.12284,1.87838,0.0278587548999689,2.1389473684210527,1090.53,0.41,0.0,1.0,431.77,0.34,87.46,0.43,1313.45,0.17,157.32,0.23,88.82,0.53,159.52,0.34,0.0,1.0,46.43,0.35,1393.68,1.0,1393.68,1.0,1393.68,0.35,0.0,1.0,0.1516555095691786
4.0,2.0,8.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.19525310587799,0.19525310587799,0.11588,0.95455,0.0289604826018535,2.354609929078014,1108.02,0.43,0.0,1.0,728.07,0.27,94.71,0.16,202.59,0.16,260.15,0.27,84.83,0.5,272.94,0.68,0.0,1.0,67.71,1.0,1807.52,1.0,1807.52,1.0,719.17,0.24,0.0,1.0,0.1232454414272596
