sampling,invalid_value,missing_value,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,135816.06,0.44,164.17,0.0,56411.52,0.29,581.98,0.0,241960.47,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.7,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07724148945913889
2,2,8,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42064.16,0.42,73.36,0.0,16921.56,0.28,158.65,0.0,80330.68,0.27,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,265.83,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.0727572039686883
1,3,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
1,3,9,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
3,4,7,1,0.1271,1.0,0.03177751129969559,2.075744680851064,86872.02,0.47,100.58,0.0,37534.55,0.27,361.51,0.0,174113.98,0.29,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.53,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06686526324525587
3,3,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,2,5,1,0.1271,1.0,0.03177751129969559,2.075744680851064,77210.59,0.48,100.58,0.0,31650.07,0.28,361.51,0.0,162583.24,0.27,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,501.28,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06621653398252367
2,1,9,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
3,3,4,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04537908135030437
2,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04436832358678973
2,4,1,1,0.13113,1.90399,0.02961510350619889,2.050428163653663,25077.37,0.43,36.12,0.0,9952.57,0.3,101.32,0.0,48805.22,0.27,207.57,0.0,152.36,0.0,212.5,0.0,12.38,0.0,55.89,0.0,163.73,0.08,32870.55,0.31,32870.55,0.32,40.92,0.0,0.07606110122864353
3,4,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,88084.99,0.47,100.58,0.0,37430.2,0.28,361.51,0.0,176649.16,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,500.2,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.0664736867916509
2,1,7,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
3,2,1,1,0.13726,0.98998,0.034319893007103426,2.111885067479321,52941.78,0.4,56.44,0.0,22328.98,0.31,226.71,0.0,105556.46,0.28,471.58,0.0,239.51,0.0,478.78,0.0,17.58,0.0,153.76,0.0,314.69,0.07,70766.71,0.29,70766.71,0.28,57.5,0.0,0.06550677546153055
3,2,9,1,0.1271,1.0,0.03177751129969559,2.075744680851064,87478.02,0.44,100.58,0.0,37790.45,0.26,361.51,0.0,175641.18,0.27,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,507.57,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06931188255556658
1,2,5,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,120441.31,0.46,164.17,0.0,54122.63,0.29,581.98,0.0,232703.39,0.29,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,827.31,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07426467044685844
2,1,5,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
1,3,7,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
3,2,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,88084.99,0.47,100.58,0.0,37430.2,0.28,361.51,0.0,176649.16,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,500.2,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.0664736867916509
2,4,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42329.27,0.5,73.36,0.0,17031.15,0.28,158.65,0.0,81514.18,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,263.42,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07172742122694034
2,2,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,41913.79,0.48,73.36,0.0,16794.76,0.28,158.65,0.0,81377.08,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,260.88,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07206836906192159
2,3,9,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
2,1,8,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
2,3,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04436832358678973
1,4,8,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,137943.39,0.43,164.17,0.0,57549.0,0.31,581.98,0.0,247217.65,0.29,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,840.0,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07171502168273791
2,4,8,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42064.16,0.42,73.36,0.0,16921.56,0.28,158.65,0.0,80330.68,0.27,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,265.83,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.0727572039686883
2,4,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,41913.79,0.48,73.36,0.0,16794.76,0.28,158.65,0.0,81377.08,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,260.88,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07206836906192159
1,3,6,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
1,4,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,139500.19,0.45,164.17,0.0,57808.6,0.32,581.98,0.0,251279.53,0.26,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.86,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07599404131566417
3,1,8,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
3,4,6,1,0.1271,1.0,0.03177751129969559,2.075744680851064,86101.85,0.41,100.58,0.0,37116.71,0.28,361.51,0.0,171672.81,0.29,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,504.28,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.07193127837430802
2,3,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
3,3,5,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
1,1,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
2,3,6,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
2,4,6,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,41323.44,0.45,73.36,0.0,16569.89,0.27,158.65,0.0,78804.41,0.26,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,265.73,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07479595174177157
2,3,5,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
1,3,8,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
1,3,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,1749.29,0.33,144.09,0.0,32096.07,0.38,528.56,0.0,1574.05,0.36,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,297.01,0.08,151907.39,0.34,151907.39,0.35,69.27,0.0,0.04532849089304823
2,2,9,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42085.96,0.46,73.36,0.0,16977.84,0.28,158.65,0.0,80493.26,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,266.24,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07411058645340696
1,2,4,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,133043.12,0.45,164.17,0.0,53335.24,0.31,581.98,0.0,241823.09,0.26,816.94,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,826.93,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07224325087316463
3,4,1,1,0.13726,0.98998,0.034319893007103426,2.111885067479321,52941.78,0.4,56.44,0.0,22328.98,0.31,226.71,0.0,105556.46,0.28,471.58,0.0,239.51,0.0,478.78,0.0,17.58,0.0,153.76,0.0,314.69,0.07,70766.71,0.29,70766.71,0.28,57.5,0.0,0.06550677546153055
1,4,1,1,0.12811,1.9691,0.02861716659825996,1.9583911234396671,82361.63,0.48,86.04,0.0,34065.89,0.29,372.98,0.0,150074.29,0.29,665.0,0.0,383.25,0.0,667.66,0.0,25.11,0.0,174.14,0.0,538.17,0.08,108903.92,0.3,108903.92,0.3,63.55,0.0,0.07607228876586739
1,2,6,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,135816.06,0.44,164.17,0.0,56411.52,0.29,581.98,0.0,241960.47,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.7,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07724148945913889
1,3,5,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
2,2,4,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,34619.83,0.45,73.36,0.0,15730.92,0.28,158.65,0.0,78213.59,0.25,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,260.88,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.06856890971582434
3,2,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,88767.21,0.49,100.58,0.0,37921.71,0.27,361.51,0.0,176918.67,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.34,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06951534135515969
1,4,7,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,137272.26,0.39,164.17,0.0,57210.58,0.31,581.98,0.0,245296.31,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,838.06,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.0760942105941754
3,2,7,1,0.1271,1.0,0.03177751129969559,2.075744680851064,86872.02,0.47,100.58,0.0,37534.55,0.27,361.51,0.0,174113.98,0.29,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.53,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06686526324525587
1,4,5,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,120441.31,0.46,164.17,0.0,54122.63,0.29,581.98,0.0,232703.39,0.29,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,827.31,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07426467044685844
